iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
283,0.9988362597653344,2022-09-18 12:24:24.092597,2022-09-18 12:25:27.909952,0 days 00:01:03.817355,0.44812524410070526,0.6086775955673432,0.17758392014873356,0.13347088895870107,20.0,3.0,691.0,0.6910435610544474,0.3666112287103272,0.7127045169720803,COMPLETE
230,0.9988065484455376,2022-09-18 11:32:17.691010,2022-09-18 11:33:19.963007,0 days 00:01:02.271997,0.45179939303212185,0.6073263399573691,0.17773315513543336,0.133973243022522,20.0,4.0,680.0,0.68980631369928,0.44061530099042157,0.7192913222977764,COMPLETE
259,0.9988065445000215,2022-09-18 12:02:11.664174,2022-09-18 12:03:14.196315,0 days 00:01:02.532141,0.4384495276905207,0.6003206590021274,0.179600996060402,0.13351960966964657,20.0,4.0,700.0,0.6741439450171519,0.3694506731292691,0.7495708128524232,COMPLETE
207,0.9987946833980021,2022-09-18 07:24:09.513391,2022-09-18 07:25:15.614744,0 days 00:01:06.101353,0.47254705350466714,0.6002156869313124,0.15039385021770846,0.13070662560626248,20.0,4.0,681.0,0.9147170736497493,0.4784011054278175,0.6961820762440407,COMPLETE
134,0.9987946077686704,2022-09-18 06:19:52.058610,2022-09-18 06:20:50.246414,0 days 00:00:58.187804,0.5130282148278795,0.6093700661296034,0.18398820991874892,0.14156762078000903,20.0,4.0,616.0,0.8540837635311518,0.30013723594669794,0.6099474587075808,COMPLETE
240,0.9987933924185375,2022-09-18 11:42:05.779548,2022-09-18 11:43:12.116754,0 days 00:01:06.337206,0.45275807820020825,0.6058437805980427,0.1508918827685757,0.1301110218541554,20.0,4.0,688.0,0.6517655295439467,0.4590166750225189,0.7236808423237908,COMPLETE
254,0.9987867207077352,2022-09-18 11:57:04.307561,2022-09-18 11:58:06.759942,0 days 00:01:02.452381,0.44777312226455784,0.6133349866826339,0.18049059250445318,0.13382690071708409,20.0,4.0,695.0,0.6340964432756255,0.41188871851771813,0.731360439953493,COMPLETE
256,0.998783491181964,2022-09-18 11:59:04.174379,2022-09-18 12:00:10.158053,0 days 00:01:05.983674,0.44709909908909146,0.6004884531416192,0.15109266386450695,0.130038656960596,20.0,4.0,689.0,0.6749255820142908,0.3948835953792803,0.741893553770078,COMPLETE
243,0.9987834348790543,2022-09-18 11:45:20.234288,2022-09-18 11:46:24.356029,0 days 00:01:04.121741,0.45273839356091883,0.600094642580459,0.1668567377778981,0.13020204296851945,20.0,4.0,695.0,0.6440026143511278,0.44340642327536406,0.741769676179864,COMPLETE
227,0.9987833906373975,2022-09-18 11:29:09.613089,2022-09-18 11:30:11.973259,0 days 00:01:02.360170,0.44136578784699443,0.6068395676826246,0.19048900647727193,0.13372469773941117,20.0,4.0,685.0,0.7696794607621532,0.4482612822731691,0.7187725636481118,COMPLETE
