iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
55,0.9999019087209912,2022-09-17 04:41:33.477359,2022-09-17 04:41:50.091424,0 days 00:00:16.614065,0.16200660357462832,0.9219884040885981,2.469903006343567,0.018116501718105575,10.0,3.0,364.0,1.6227182590965568,2.9823175467824856,0.6560417517523364,COMPLETE
70,0.9998988079577422,2022-09-17 04:45:39.767151,2022-09-17 04:46:00.163413,0 days 00:00:20.396262,0.2177452703386609,0.9180478090831332,2.5923609917760637,0.015339003073082686,10.0,3.0,458.0,0.9065313669217065,2.6003082049568964,0.7002437551620903,COMPLETE
72,0.9998957997203399,2022-09-17 04:46:21.789390,2022-09-17 04:46:42.004594,0 days 00:00:20.215204,0.1631436977439442,0.9094933184236506,2.4396847710851763,0.037009066600730264,10.0,3.0,453.0,0.2511539104704271,2.583091051127778,0.7498027101884406,COMPLETE
77,0.9998922823683067,2022-09-17 04:48:03.608160,2022-09-17 04:48:22.946151,0 days 00:00:19.337991,0.1870266843701321,0.9538628198575853,2.2048683626002092,0.024232671375435205,9.0,1.0,480.0,0.5414254148797795,2.4263465357544822,0.6396870700150538,COMPLETE
53,0.9998912544815047,2022-09-17 04:40:56.689010,2022-09-17 04:41:14.282325,0 days 00:00:17.593315,0.17798554003536363,0.8774934915653686,2.4186547454194254,0.012039637793039501,10.0,4.0,376.0,1.9042828054663392,2.9869223249594823,0.6999998551673602,COMPLETE
93,0.9998891199822592,2022-09-17 04:53:28.684479,2022-09-17 04:53:50.788721,0 days 00:00:22.104242,0.21015665963977903,0.9338759860954909,2.2012851616961515,0.02907963881592947,10.0,3.0,489.0,0.11737665795495089,2.707490583949906,0.7004274590136529,COMPLETE
76,0.9998890375859959,2022-09-17 04:47:42.098209,2022-09-17 04:48:03.607833,0 days 00:00:21.509624,0.18541289146387246,0.9622051547626911,2.3389147108256623,0.026375067488155317,10.0,3.0,483.0,0.41903522301003493,2.4452238995591773,0.6995390738833014,COMPLETE
73,0.9998890230327651,2022-09-17 04:46:42.004907,2022-09-17 04:47:02.261195,0 days 00:00:20.256288,0.15610503640403792,0.9081316708408452,2.318587773011889,0.03296876590084092,10.0,3.0,453.0,0.6895239426333932,2.581764171622153,0.714940143527955,COMPLETE
82,0.9998857135174019,2022-09-17 04:49:45.321812,2022-09-17 04:50:05.760438,0 days 00:00:20.438626,0.1146076418365312,0.892829516163406,2.3426268651169266,0.05239826410889045,10.0,3.0,499.0,0.4725695844169856,2.425783176354905,0.658408106861953,COMPLETE
96,0.9998824323734217,2022-09-17 04:54:35.080845,2022-09-17 04:54:56.914436,0 days 00:00:21.833591,0.23657044410997743,0.8843839477222533,1.9969516527365099,0.02961021525055239,10.0,3.0,486.0,0.36754307485681226,2.8060635587208846,0.7046144195994926,COMPLETE
85,0.9998817875079793,2022-09-17 04:50:43.191060,2022-09-17 04:51:04.294889,0 days 00:00:21.103829,0.1498674597195703,0.9238141958403912,1.879895944884507,0.018273063790919197,10.0,3.0,443.0,0.4195082714881251,2.7640990329634767,0.702574740920353,COMPLETE
68,0.9998790432319649,2022-09-17 04:45:01.882105,2022-09-17 04:45:21.424993,0 days 00:00:19.542888,0.19658961193899757,0.9091364887608385,2.197425916421348,0.041073809494320546,10.0,3.0,453.0,1.9436043264656415,2.6987142014860606,0.6967247224476051,COMPLETE
52,0.9998790155901854,2022-09-17 04:40:40.953018,2022-09-17 04:40:56.688684,0 days 00:00:15.735666,0.1610457176634958,0.8653352496946429,2.244439041413256,0.0622553656822769,10.0,4.0,377.0,1.9134175653469625,2.599928463017113,0.7288265451171225,COMPLETE
