iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
62,0.9974033228158488,2022-09-17 03:22:55.471133,2022-09-17 03:24:05.105769,0 days 00:01:09.634636,0.4340383245471247,0.9607970073748959,0.4016673530472217,0.1573637014881627,10.0,1.0,467.0,0.9694542204466771,1.0660815791272713,0.7161336536216777,COMPLETE
61,0.9972737549039165,2022-09-17 03:21:51.698133,2022-09-17 03:22:55.470821,0 days 00:01:03.772688,0.4519536538915952,0.9637640906422561,0.9050386148196958,0.15572268426727634,10.0,1.0,471.0,0.9142743266703215,0.8707290616634888,0.7121246066523491,COMPLETE
98,0.9971192937623418,2022-09-17 03:52:11.082815,2022-09-17 03:52:37.939599,0 days 00:00:26.856784,0.4650708162678963,0.6246487312435548,0.7439863395699633,0.21421989761794583,10.0,1.0,417.0,1.0094560543409514,0.8188742900609469,0.6290699870244969,COMPLETE
94,0.9970633519597563,2022-09-17 03:50:06.056751,2022-09-17 03:50:54.986445,0 days 00:00:48.929694,0.4468459357488129,0.6035130666996172,0.7041893098832239,0.20268852534186532,10.0,1.0,438.0,0.9825071597001407,0.797587044511514,0.6108765602317456,COMPLETE
84,0.9970354614643225,2022-09-17 03:41:42.768977,2022-09-17 03:42:39.238265,0 days 00:00:56.469288,0.46618522989891537,0.6345354709188789,0.9009873856786286,0.2053463802898895,10.0,2.0,428.0,0.9922078437139941,0.3372056932339146,0.6868714139754192,COMPLETE
93,0.9970037502948084,2022-09-17 03:49:06.301809,2022-09-17 03:50:06.056422,0 days 00:00:59.754613,0.4643593143584587,0.8119794974050386,0.964280988723721,0.18124795401913718,10.0,1.0,449.0,1.1557436987906962,0.7814130901282668,0.5725265276078436,COMPLETE
50,0.9969961059397754,2022-09-17 03:14:46.616138,2022-09-17 03:15:05.123629,0 days 00:00:18.507491,0.4525253546022151,0.6202400195776203,0.8990910044327695,0.1782353039842031,10.0,1.0,405.0,1.1343675661141528,0.6022188867023858,0.6411565046445256,COMPLETE
81,0.996969061806519,2022-09-17 03:39:13.226010,2022-09-17 03:40:17.940656,0 days 00:01:04.714646,0.44935534331309246,0.6010901568786472,0.8932366999030104,0.18303188530090167,10.0,2.0,469.0,0.9891810192913626,0.5205376267696707,0.648390391166898,COMPLETE
95,0.9969471728165649,2022-09-17 03:50:54.986767,2022-09-17 03:51:22.173318,0 days 00:00:27.186551,0.44829819990191244,0.601268228071881,0.854351876291729,0.22131404314331152,10.0,1.0,424.0,0.7973361861999266,0.7492789390560317,0.6333321931127847,COMPLETE
76,0.9969303321759722,2022-09-17 03:35:01.461786,2022-09-17 03:36:04.657209,0 days 00:01:03.195423,0.4480759886806767,0.7255846882709843,0.9075725511329935,0.17542219234552855,10.0,3.0,470.0,1.1543783202391438,0.3442811022281068,0.6735422068027428,COMPLETE
