iteration,f1_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
271,0.9931784373321696,2022-09-18 04:15:41.163464,2022-09-18 04:15:59.718844,0 days 00:00:18.555380,0.5449365714550495,0.7839284986307313,1.547512878374652,0.13800983815031365,8.0,1.0,691.0,0.2841773131264607,1.4119808147660278,0.796466106984622,COMPLETE
122,0.9931701638451299,2022-09-18 03:34:13.524632,2022-09-18 03:34:31.023521,0 days 00:00:17.498889,0.5921775284329256,0.7892624952867299,1.7373752970271312,0.15740042268727492,8.0,1.0,660.0,0.9923276679944999,1.5156338643707716,0.7595400279676775,COMPLETE
182,0.9931651988583553,2022-09-18 03:50:32.282648,2022-09-18 03:50:49.120409,0 days 00:00:16.837761,0.5634096645859255,0.7949704248913555,1.5386341516271411,0.1472069722391443,7.0,1.0,667.0,0.7264568201205414,1.5568737974301017,0.7865362276229774,COMPLETE
268,0.9931618903540382,2022-09-18 04:14:47.364919,2022-09-18 04:15:04.562021,0 days 00:00:17.197102,0.5636895981164335,0.7950607979234287,1.4566245413098406,0.1494670078028052,7.0,1.0,676.0,0.45244730076511186,1.4464161233669726,0.789540088203489,COMPLETE
231,0.9931552699229803,2022-09-18 04:04:23.402626,2022-09-18 04:04:39.589980,0 days 00:00:16.187354,0.5619537758200217,0.7862129900690772,1.6794530037798885,0.1545376571093161,7.0,1.0,650.0,0.9147109259733209,1.368586602152242,0.7715011317750874,COMPLETE
272,0.9931536126244006,2022-09-18 04:15:59.719359,2022-09-18 04:16:18.528296,0 days 00:00:18.808937,0.5415158950684005,0.7837851754622018,1.5432784978585237,0.13016338511603506,8.0,1.0,693.0,0.2248614146481393,1.2909909162983635,0.7999823093712359,COMPLETE
284,0.9931519674539878,2022-09-18 04:19:46.647518,2022-09-18 04:20:06.153460,0 days 00:00:19.505942,0.5453880333186092,0.7813874179956969,1.3573501959483296,0.13559214987019524,8.0,2.0,693.0,0.20889455901435258,1.3484218268177126,0.7953562377993177,COMPLETE
270,0.993151964840539,2022-09-18 04:15:22.812251,2022-09-18 04:15:41.162941,0 days 00:00:18.350690,0.551816808511561,0.7844312371206275,1.5342758431779964,0.13846141854580396,8.0,1.0,691.0,0.34467805646329375,1.417776212738582,0.7935999167422894,COMPLETE
160,0.9931503065090621,2022-09-18 03:44:30.630724,2022-09-18 03:44:46.753991,0 days 00:00:16.123267,0.5882450755643435,0.7740697019377427,1.6445584162975644,0.151645267387817,7.0,1.0,653.0,0.9154337882993957,1.5346258224629934,0.7964909460931195,COMPLETE
236,0.9931453470451562,2022-09-18 04:05:43.240346,2022-09-18 04:06:00.154411,0 days 00:00:16.914065,0.5761267463443073,0.782708746947988,1.5445177879045289,0.15723584228554044,7.0,1.0,671.0,0.9680331215383862,1.34845481600401,0.7678891802214339,COMPLETE
207,0.9931453457322901,2022-09-18 03:57:38.099782,2022-09-18 03:57:55.015292,0 days 00:00:16.915510,0.5670728947002844,0.7788743822129591,1.6163608021383926,0.14067089401507318,7.0,1.0,676.0,0.5791555201141653,1.580370849563975,0.7855923492493451,COMPLETE
169,0.993145341240471,2022-09-18 03:46:54.646232,2022-09-18 03:47:11.270167,0 days 00:00:16.623935,0.5736006694272207,0.7776353188600726,1.4284703390051612,0.15034422784903853,7.0,1.0,656.0,0.7485624965837488,1.5773653376724208,0.7948892369194044,COMPLETE
174,0.9931436921372446,2022-09-18 03:48:18.355252,2022-09-18 03:48:34.556373,0 days 00:00:16.201121,0.5762963206057291,0.7854096902923846,1.5412941071169841,0.15526818395878525,7.0,1.0,654.0,0.8011252749845509,1.5819352682709202,0.7939136176016909,COMPLETE
256,0.9931420377540553,2022-09-18 04:11:20.553704,2022-09-18 04:11:37.301236,0 days 00:00:16.747532,0.5647829019924555,0.7846248667153626,1.4895867583355717,0.15440488033241,7.0,1.0,665.0,0.614433555433833,1.40260543264712,0.7917003498930819,COMPLETE
199,0.9931420332702816,2022-09-18 03:55:25.782964,2022-09-18 03:55:42.092735,0 days 00:00:16.309771,0.5598815845747143,0.7947041550399903,1.699050166697728,0.15099508272182952,7.0,1.0,660.0,0.7748139830243802,1.5788839218703326,0.774126149561002,COMPLETE
179,0.9931403796816876,2022-09-18 03:49:41.793541,2022-09-18 03:49:58.326032,0 days 00:00:16.532491,0.563629027697059,0.7983884644493865,1.5471434737618623,0.15399773111451348,7.0,1.0,676.0,0.8482174310773086,1.5247092000710132,0.7897660297993323,COMPLETE
269,0.9931403796816876,2022-09-18 04:15:04.562493,2022-09-18 04:15:22.811735,0 days 00:00:18.249242,0.5530714964293687,0.7841762010294956,1.5530373477282942,0.1345638302743176,8.0,1.0,682.0,0.4466987637607473,1.4138467424685404,0.7951830205607823,COMPLETE
259,0.9931403764960764,2022-09-18 04:12:11.527077,2022-09-18 04:12:28.601889,0 days 00:00:17.074812,0.5480301547220505,0.7895872905176052,1.5013142825612584,0.14345636214479937,7.0,1.0,667.0,0.4593438308251474,1.4007427321085384,0.787969279784163,COMPLETE
191,0.9931387279367471,2022-09-18 03:53:06.214788,2022-09-18 03:53:23.043625,0 days 00:00:16.828837,0.5688701159717056,0.7893441754445654,1.6652444517138738,0.15640043009571397,7.0,1.0,696.0,0.6802032532543889,1.4185242749373772,0.77849346896284,COMPLETE
294,0.9931370725003175,2022-09-18 04:23:00.778469,2022-09-18 04:23:19.781169,0 days 00:00:19.002700,0.544229126782617,0.7720312953741216,1.447999984025519,0.1399602653055536,8.0,1.0,696.0,0.21949734362574208,1.3181373967634304,0.7808948843977817,COMPLETE
282,0.9931370722366007,2022-09-18 04:19:07.905007,2022-09-18 04:19:27.235500,0 days 00:00:19.330493,0.5357202536361425,0.7945777716787481,1.454844067302159,0.13127860484152826,8.0,1.0,689.0,0.25352482560345735,1.3471466969311285,0.7909692412025486,COMPLETE
248,0.9931370717087163,2022-09-18 04:09:02.859450,2022-09-18 04:09:19.728116,0 days 00:00:16.868666,0.5715843441100343,0.7942847911988044,1.463761097764823,0.1600934398219423,7.0,1.0,665.0,0.6531137596891401,1.6161469177252699,0.7925961023515358,COMPLETE
276,0.9931354194335962,2022-09-18 04:17:15.167789,2022-09-18 04:17:33.909600,0 days 00:00:18.741811,0.5470685679294593,0.7807520844639938,1.5610917328166485,0.13550237329090808,8.0,1.0,698.0,0.3108840118455726,1.3075263820894756,0.796907806568661,COMPLETE
250,0.9931337653133622,2022-09-18 04:09:36.579509,2022-09-18 04:09:53.858970,0 days 00:00:17.279461,0.563893352924574,0.7879041281872996,1.459826394559264,0.1610057105480088,7.0,1.0,677.0,0.5520654816693574,1.6040665793190376,0.7905331548061977,COMPLETE
275,0.9931337616205991,2022-09-18 04:16:56.717031,2022-09-18 04:17:15.167242,0 days 00:00:18.450211,0.5502561260886611,0.782796386953343,1.5041660424908971,0.13737211640267982,8.0,1.0,687.0,0.22170444689102906,1.2650951725756263,0.7984639976014751,COMPLETE
298,0.9931337594972155,2022-09-18 04:24:17.291868,2022-09-18 04:24:36.516451,0 days 00:00:19.224583,0.5411016846141,0.7611440671019145,1.373855232953964,0.13656201953023028,8.0,1.0,686.0,0.28330574799824243,1.3935366306228847,0.7927725308737233,COMPLETE
123,0.9931321075024857,2022-09-18 03:34:31.023905,2022-09-18 03:34:47.974030,0 days 00:00:16.950125,0.5937322551557447,0.7896293949337296,1.757797784709046,0.15721550361533315,8.0,1.0,658.0,0.9878924015487903,1.5284836575069725,0.7604913147884239,COMPLETE
74,0.9931321064426437,2022-09-18 03:19:50.093481,2022-09-18 03:20:12.880116,0 days 00:00:22.786635,0.5550593678607955,0.7728964018760971,2.3504528832949227,0.1752517016843059,10.0,3.0,651.0,1.2898424395535466,1.778849937780313,0.7555013327880971,COMPLETE
184,0.993132105114457,2022-09-18 03:51:05.998388,2022-09-18 03:51:23.176760,0 days 00:00:17.178372,0.5639362054118611,0.7930116309364124,1.5425441435482004,0.14726929464065067,7.0,1.0,685.0,0.697228810405121,1.6211824710271239,0.7873545228238062,COMPLETE
188,0.9931321043157403,2022-09-18 03:52:14.555735,2022-09-18 03:52:31.785453,0 days 00:00:17.229718,0.5678683182793294,0.7842493380618061,1.5721476790730278,0.1474156168370561,7.0,1.0,700.0,0.6515219499486204,1.5606700926150079,0.7945654235665504,COMPLETE
264,0.993130454704833,2022-09-18 04:13:37.533292,2022-09-18 04:13:54.679461,0 days 00:00:17.146169,0.5620745728531448,0.7898156798064058,1.5015726323874914,0.14991079911136854,7.0,1.0,688.0,0.4857764269143935,1.431471285399298,0.7938475722973584,COMPLETE
163,0.99313045019942,2022-09-18 03:45:18.504794,2022-09-18 03:45:34.031527,0 days 00:00:15.526733,0.5735845723081741,0.7737822778413751,1.6169717508637675,0.16290586554564065,7.0,1.0,637.0,0.9479452081152928,1.443022091600953,0.7967348633433309,COMPLETE
205,0.9931287979422574,2022-09-18 03:57:05.228015,2022-09-18 03:57:21.688224,0 days 00:00:16.460209,0.5683962740379764,0.7891635784617957,1.5952547225194134,0.15306655788474433,7.0,1.0,658.0,0.6648754587665554,1.4878336746852059,0.7838413278504884,COMPLETE
125,0.9931271451472611,2022-09-18 03:35:04.431301,2022-09-18 03:35:21.174923,0 days 00:00:16.743622,0.5940479161664832,0.7908699001724225,1.7269128964469467,0.15106108120853753,7.0,1.0,660.0,0.8801258278375627,1.440689680484824,0.750391629084172,COMPLETE
126,0.9931271440893628,2022-09-18 03:35:21.175323,2022-09-18 03:35:37.718344,0 days 00:00:16.543021,0.5935032616613286,0.7916057387437544,1.8031854586555986,0.15068073589888958,7.0,1.0,673.0,0.9844944707317853,1.502716603245775,0.7597237184872789,COMPLETE
180,0.9931271432943585,2022-09-18 03:49:58.326562,2022-09-18 03:50:15.120024,0 days 00:00:16.793462,0.563180422186396,0.7993062449126828,1.4637609188225,0.1554720745220381,7.0,1.0,676.0,0.7252822203698829,1.523588966242763,0.7893864081709749,COMPLETE
274,0.9931271419663411,2022-09-18 04:16:37.309812,2022-09-18 04:16:56.716481,0 days 00:00:19.406669,0.543861506284672,0.7845202928741951,1.4610863086208554,0.1329717817821986,8.0,1.0,695.0,0.3741586784056984,1.2072790164540053,0.7945105384668891,COMPLETE
204,0.9931271406345603,2022-09-18 03:56:48.700221,2022-09-18 03:57:05.227540,0 days 00:00:16.527319,0.5689781920271858,0.7795867314512688,1.5966216909076356,0.14948310481036722,7.0,1.0,660.0,0.6933631599600658,1.5851989945417697,0.7839747428516481,COMPLETE
170,0.993125492872948,2022-09-18 03:47:11.270589,2022-09-18 03:47:27.747129,0 days 00:00:16.476540,0.5735487853895461,0.7790720733453027,1.4802258298512885,0.15612264560881345,7.0,1.0,654.0,0.7445955467129823,1.5664388139689858,0.7903331475707339,COMPLETE
153,0.9931254923467321,2022-09-18 03:42:36.921094,2022-09-18 03:42:53.343117,0 days 00:00:16.422023,0.5825834986134942,0.774838392687988,1.6240842455942333,0.16259258496095416,7.0,1.0,656.0,0.9172095037306095,1.490648791299683,0.771462615614823,COMPLETE
152,0.9931254897066191,2022-09-18 03:42:20.413763,2022-09-18 03:42:36.920706,0 days 00:00:16.506943,0.5839066590109891,0.7760261889455172,1.6282033307556762,0.16199632315342374,7.0,1.0,646.0,1.0122799469063601,1.5330051348640747,0.7635635425426853,COMPLETE
154,0.9931254891767899,2022-09-18 03:42:53.343533,2022-09-18 03:43:09.782799,0 days 00:00:16.439266,0.5837890831072374,0.7668471765499838,1.5339007939671716,0.15275165058926152,7.0,1.0,647.0,0.8494991592231216,1.4946693676107925,0.781737970311553,COMPLETE
212,0.9931254883809166,2022-09-18 03:59:01.195595,2022-09-18 03:59:17.856447,0 days 00:00:16.660852,0.5547244405809152,0.7769457896639042,1.6317786080938077,0.15187879430263623,7.0,1.0,664.0,0.6962502927694899,1.5277843066513128,0.7727747564599439,COMPLETE
209,0.9931254875836885,2022-09-18 03:58:11.703774,2022-09-18 03:58:28.414694,0 days 00:00:16.710920,0.5661034696839545,0.7940557493829058,1.7114813637299207,0.14507804629042836,7.0,1.0,685.0,0.5932396017209047,1.4741169913673633,0.7876894835160423,COMPLETE
230,0.99312548705145,2022-09-18 04:04:05.627574,2022-09-18 04:04:23.402178,0 days 00:00:17.774604,0.5728329540912002,0.7779167449800245,1.4222581288301088,0.14922757043477786,7.0,1.0,697.0,1.0204458870007904,1.560774494159326,0.7955399787384144,COMPLETE
286,0.9931238345289661,2022-09-18 04:20:25.783315,2022-09-18 04:20:45.747780,0 days 00:00:19.964465,0.5360474230683646,0.7802263751479694,1.2611417690981601,0.13427242982811768,8.0,1.0,688.0,0.22513543467706992,1.3333337270026644,0.7910632340074255,COMPLETE
292,0.9931238334669443,2022-09-18 04:22:22.275505,2022-09-18 04:22:41.275343,0 days 00:00:18.999838,0.5379672022476432,0.7883751215570283,1.5015338264964646,0.13034272020026788,8.0,2.0,690.0,0.33837330384761743,1.3974884580954812,0.7954517096245971,COMPLETE
171,0.9931238334669443,2022-09-18 03:47:27.747588,2022-09-18 03:47:44.524311,0 days 00:00:16.776723,0.5732296412539659,0.7830587684182926,1.3534629820458783,0.14978456259395717,7.0,1.0,655.0,0.7391572446254345,1.6076883146946799,0.7996466458281959,COMPLETE
183,0.9931238326688464,2022-09-18 03:50:49.120825,2022-09-18 03:51:05.997941,0 days 00:00:16.877116,0.5644384504828994,0.7941337674277089,1.5248241462523346,0.14777562069691336,7.0,1.0,667.0,0.7405731576975957,1.5698634929912505,0.7869145292821319,COMPLETE
197,0.9931238316026075,2022-09-18 03:54:48.286429,2022-09-18 03:55:04.852863,0 days 00:00:16.566434,0.5499087385652014,0.7891525889950458,1.6776213086440652,0.15519070587902972,7.0,1.0,694.0,0.8264358011073177,1.4334010005868707,0.7859488687756491,COMPLETE
285,0.9931221822630315,2022-09-18 04:20:06.153956,2022-09-18 04:20:25.782807,0 days 00:00:19.628851,0.5459598424194877,0.7946718165387077,1.3852200076700363,0.13497459474120999,8.0,2.0,694.0,0.2486440834689941,1.26488897180007,0.7952112262337295,COMPLETE
243,0.9931221809412097,2022-09-18 04:07:39.887940,2022-09-18 04:07:56.512968,0 days 00:00:16.625028,0.5902666616615655,0.7875234612756087,1.4871722429188834,0.14673583936757506,7.0,1.0,658.0,0.7400900504918391,1.5708269338252219,0.7945613470925166,COMPLETE
202,0.9931221780199467,2022-09-18 03:56:14.680476,2022-09-18 03:56:30.904080,0 days 00:00:16.223604,0.5661365220849907,0.7831456421483262,1.6499163504082097,0.14964949293624025,7.0,1.0,672.0,0.6390443971903703,1.6168822840891495,0.7997727773053108,COMPLETE
178,0.9931205278803074,2022-09-18 03:49:25.036412,2022-09-18 03:49:41.793077,0 days 00:00:16.756665,0.5800328139257143,0.7992649501243132,1.5485564558305074,0.15341719142426605,7.0,1.0,674.0,0.8366370636357623,1.5134053265650615,0.7864539523568208,COMPLETE
254,0.9931205268231981,2022-09-18 04:10:46.543927,2022-09-18 04:11:03.627464,0 days 00:00:17.083537,0.5697658669372307,0.7878165897950966,1.3769632502332152,0.1592215644995106,7.0,1.0,671.0,0.6795361878920877,1.6050231897710927,0.7942995435801645,COMPLETE
147,0.9931205247017482,2022-09-18 03:41:10.010990,2022-09-18 03:41:23.739164,0 days 00:00:13.728174,0.5992138621031299,0.7998157548360636,1.8893914677502552,0.16196975091182075,7.0,1.0,550.0,0.8982354774483268,1.5121499105147056,0.7624706347738249,COMPLETE
185,0.9931205244358888,2022-09-18 03:51:23.177194,2022-09-18 03:51:40.383704,0 days 00:00:17.206510,0.5647297935754759,0.7891070735777345,1.3820394083993197,0.14764984476623844,7.0,8.0,685.0,0.717381384064913,1.6309234691792265,0.7903763874012156,COMPLETE
283,0.9931205241698787,2022-09-18 04:19:27.236020,2022-09-18 04:19:46.647019,0 days 00:00:19.410999,0.5332403593890471,0.7868387571913632,1.4449278654359057,0.1306668893358836,8.0,1.0,700.0,0.25431236010710473,1.3372685115546772,0.7914432594981573,COMPLETE
