iteration,recall,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
299,1.0,2022-09-19 05:59:59.832863,2022-09-19 06:00:51.661981,0 days 00:00:51.829118,0.5721311683687514,0.7513550330060278,0.12174215937627901,0.22789093680963607,15,4,687,1.0741152019389495,1.3017500842059258,0.6732038110051505,COMPLETE
104,1.0,2022-09-19 03:26:53.392964,2022-09-19 03:27:39.098984,0 days 00:00:45.706020,0.47002381222064227,0.9123965171902331,0.07948803766174903,0.21865221269023885,13,1,539,2.2436044264562334,1.4825755891227594,0.7801015718580819,COMPLETE
141,1.0,2022-09-19 03:53:58.931622,2022-09-19 03:54:49.462975,0 days 00:00:50.531353,0.5623313238348575,0.9182212811626633,0.04882413038797277,0.28265434100258646,14,3,637,2.106021468051158,1.5476495586842751,0.7389452762995864,COMPLETE
142,1.0,2022-09-19 03:54:49.463518,2022-09-19 03:55:37.470812,0 days 00:00:48.007294,0.4624792932544116,0.9046398713463017,0.09275857979415934,0.26618608626280604,14,3,634,1.8491042304131646,2.0352776662303844,0.7360872053646852,COMPLETE
143,1.0,2022-09-19 03:55:37.471209,2022-09-19 03:56:35.511598,0 days 00:00:58.040389,0.5518942050665236,0.8150883138067139,0.03877313479134739,0.1806764012520509,14,3,653,2.1992555351444927,1.513994631912102,0.6684475167703181,COMPLETE
144,1.0,2022-09-19 03:56:35.511934,2022-09-19 03:57:21.282866,0 days 00:00:45.770932,0.507383050875083,0.8812596266105084,0.029422706836035255,0.258548368660833,15,3,499,1.4229015404424081,1.3905974581294018,0.6628426536359969,COMPLETE
145,1.0,2022-09-19 03:57:21.283207,2022-09-19 03:58:02.118368,0 days 00:00:40.835161,0.49886299579777754,0.8844499319481476,0.06908246140333218,0.29655454774951595,15,2,445,1.9613784421508274,2.280333793733183,0.7463872210556349,COMPLETE
146,1.0,2022-09-19 03:58:02.118892,2022-09-19 03:58:49.565422,0 days 00:00:47.446530,0.4796183361147736,0.8897349242391934,0.049084142226453305,0.19283164841792463,15,2,436,2.040572323135975,2.3516012043181833,0.7499391353591438,COMPLETE
148,1.0,2022-09-19 03:59:26.850246,2022-09-19 04:00:18.230948,0 days 00:00:51.380702,0.4099580541506789,0.9349398378357493,0.0011700110190973334,0.24518839410262594,13,1,553,2.213140887987627,1.4808173977403518,0.7774079304358799,COMPLETE
149,1.0,2022-09-19 04:00:18.231462,2022-09-19 04:01:08.455361,0 days 00:00:50.223899,0.3244363714556763,0.9124384300803842,0.0016736985116949724,0.22271851456935202,13,1,528,2.2277989840814314,1.4869079689614655,0.7816816077850517,COMPLETE
249,1.0,2022-09-19 05:19:42.905445,2022-09-19 05:20:31.643305,0 days 00:00:48.737860,0.40736227756924703,0.9156856552890599,0.01842161632905663,0.2641330380681544,13,3,615,2.0200351856581333,1.936691604300534,0.7119752683047345,COMPLETE
151,1.0,2022-09-19 04:01:50.744517,2022-09-19 04:02:38.971292,0 days 00:00:48.226775,0.34210695807791847,0.8380012391167904,0.13570331439053696,0.2834068721113221,15,5,699,1.1158148497069982,1.4234577323837092,0.6364987338856417,COMPLETE
