iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,params_reg_lambd,subsample,state
49,0.999966184914414,2022-09-18 14:53:23.905230,2022-09-18 14:54:26.245862,0 days 00:01:02.340632,0.27682959947631847,0.7355180640418421,2.1590181423431565,0.004116460731295138,20,4,490,0.5583693291243438,1.570564776949021,0.6169027232015141,COMPLETE
44,0.9999622121683689,2022-09-18 14:49:44.330791,2022-09-18 14:50:52.110557,0 days 00:01:07.779766,0.24619100257105347,0.6079458880144345,1.7785681577289296,0.0019247135898235583,17,4,510,0.7572737005847824,1.5486973113685822,0.7631249308782149,COMPLETE
59,0.9999456899916838,2022-09-18 14:59:34.050293,2022-09-18 15:00:15.215400,0 days 00:00:41.165107,0.30380246625692714,0.7058306382589896,2.3693794265745454,0.002394850179681289,16,4,410,0.4164724465800855,1.6605235275710046,0.6703376081828966,COMPLETE
94,0.9999455174480373,2022-09-18 15:20:19.012648,2022-09-18 15:21:05.337263,0 days 00:00:46.324615,0.30648649669092043,0.6994042953950997,1.7074134346554428,0.0015770009744509872,16,5,447,0.386246436184517,2.0755974618513617,0.6308573685074177,COMPLETE
36,0.9999389782932229,2022-09-18 14:43:55.666624,2022-09-18 14:44:46.841282,0 days 00:00:51.174658,0.2917408427838574,0.7381520578025413,1.7405081175134614,0.002395359526586197,15,4,585,0.6377479618305797,2.4222908046373233,0.7554100097130474,COMPLETE
53,0.9999323176468199,2022-09-18 14:55:45.551082,2022-09-18 14:56:44.453963,0 days 00:00:58.902881,0.276118380535924,0.8254922903149555,2.519758579350399,0.0014921766332304963,19,5,493,0.42024085754121365,1.38442937345395,0.6327817811479447,COMPLETE
69,0.9999321387491136,2022-09-18 15:05:06.856666,2022-09-18 15:05:54.957788,0 days 00:00:48.101122,0.26307140591009387,0.7756519981311792,2.4107973593556102,0.002313661319377988,16,4,524,0.6832520112687283,1.4512891190904222,0.6432027974409331,COMPLETE
64,0.9999253928743412,2022-09-18 15:01:59.772461,2022-09-18 15:02:51.679610,0 days 00:00:51.907149,0.30710160818610255,0.7732112498591635,1.9954265010732533,0.001101791489511482,17,4,483,0.8200664359481045,1.2895184120299663,0.5565735572837373,COMPLETE
51,0.9999251272836178,2022-09-18 14:54:43.900123,2022-09-18 14:55:30.212285,0 days 00:00:46.312162,0.258322425880197,0.7404458524226907,2.3051915425012766,0.0018089415442097655,16,4,485,0.6199808185747645,1.9309925940881127,0.6205108680693194,COMPLETE
41,0.9999189750341824,2022-09-18 14:47:25.606287,2022-09-18 14:48:15.968543,0 days 00:00:50.362256,0.24439756506472748,0.7892687719678102,1.8001942465844187,0.006006122013342865,15,3,559,0.5260935514058129,1.9590964162181361,0.7858992165734537,COMPLETE
92,0.9999180005808292,2022-09-18 15:18:53.646291,2022-09-18 15:19:40.039932,0 days 00:00:46.393641,0.2453059373294949,0.7227519280332254,1.8317097199469212,0.0012038698785536922,15,4,482,0.5932857206961115,1.9525061917355502,0.7839400645235608,COMPLETE
